fecha,precio_cierre,volumen
2023-01-01,100.0,1000
2023-01-02,100.5,1010
2023-01-03,101.0,1020
2023-01-04,101.5,1030
2023-01-05,102.0,1040
2023-01-06,102.5,1050
2023-01-07,103.0,1060
2023-01-08,103.5,1070
2023-01-09,104.0,1080
2023-01-10,104.5,1090
2023-01-11,105.0,1100
2023-01-12,105.5,1110
2023-01-13,106.0,1120
2023-01-14,106.5,1130
2023-01-15,107.0,1140
2023-01-16,107.5,1150
2023-01-17,108.0,1160
2023-01-18,108.5,1170
2023-01-19,109.0,1180
2023-01-20,109.5,1190
2023-01-21,110.0,1200
2023-01-22,110.5,1210
2023-01-23,111.0,1220
2023-01-24,111.5,1230
2023-01-25,112.0,1240
2023-01-26,112.5,1250
2023-01-27,113.0,1260
2023-01-28,113.5,1270
2023-01-29,114.0,1280
2023-01-30,114.5,1290
2023-01-31,115.0,1300
2023-02-01,115.5,1310
2023-02-02,116.0,1320
2023-02-03,116.5,1330
2023-02-04,117.0,1340
2023-02-05,117.5,1350
2023-02-06,118.0,1360
2023-02-07,118.5,1370
2023-02-08,119.0,1380
2023-02-09,119.5,1390
2023-02-10,120.0,1400
2023-02-11,120.5,1410
2023-02-12,121.0,1420
2023-02-13,121.5,1430
2023-02-14,122.0,1440
2023-02-15,122.5,1450
2023-02-16,123.0,1460
2023-02-17,123.5,1470
2023-02-18,124.0,1480
2023-02-19,124.5,1490
2023-02-20,125.0,1500
2023-02-21,125.5,1510
2023-02-22,126.0,1520
2023-02-23,126.5,1530
2023-02-24,127.0,1540
2023-02-25,127.5,1550
2023-02-26,128.0,1560
2023-02-27,128.5,1570
2023-02-28,129.0,1580
2023-03-01,129.5,1590
2023-03-02,130.0,1600
2023-03-03,130.5,1610
2023-03-04,131.0,1620
2023-03-05,131.5,1630
2023-03-06,132.0,1640
2023-03-07,132.5,1650
2023-03-08,133.0,1660
2023-03-09,133.5,1670
2023-03-10,134.0,1680
2023-03-11,134.5,1690
2023-03-12,135.0,1700
2023-03-13,135.5,1710
2023-03-14,136.0,1720
2023-03-15,136.5,1730
2023-03-16,137.0,1740
2023-03-17,137.5,1750
2023-03-18,138.0,1760
2023-03-19,138.5,1770
2023-03-20,139.0,1780
2023-03-21,139.5,1790
2023-03-22,140.0,1800
2023-03-23,140.5,1810
2023-03-24,141.0,1820
2023-03-25,141.5,1830
2023-03-26,142.0,1840
2023-03-27,142.5,1850
2023-03-28,143.0,1860
2023-03-29,143.5,1870
2023-03-30,144.0,1880
2023-03-31,144.5,1890
2023-04-01,145.0,1900
2023-04-02,145.5,1910
2023-04-03,146.0,1920
2023-04-04,146.5,1930
2023-04-05,147.0,1940
2023-04-06,147.5,1950
2023-04-07,148.0,1960
2023-04-08,148.5,1970
2023-04-09,149.0,1980
2023-04-10,149.5,1990
